location,type,bedrooms,bathrooms,parking,log_area,log_price
La Calleja,Apartamento,3,3.0,0,4.736198448394496,20.524814898222573
Chapinero,Oficina,3,4.0,0,5.288267030694535,21.556174959881517
Usaquén,Apartamento,3,3.0,1,5.6240175061873385,20.560746907448635
Puente Aranda,Apartamento,2,1.0,0,3.58351893845611,19.29614531463092
Suba,Casa,4,7.0,1,6.059123195581797,21.51172319731068
Suba,Casa,7,4.0,0,5.6240175061873385,21.598734574300313
Kennedy,Casa,3,4.0,1,4.890349128221754,20.292482920853956
Usaquén,Casa,4,4.0,0,5.298317366548036,20.905587393740365
La Calleja,Casa,3,4.0,1,5.814130531825066,15.201804919084164
Santa Barbara,Apartaestudio,1,2.0,1,4.406719247264253,19.98929666186621
Niza,Casa,5,4.0,1,5.926926025970411,21.31105250184853
Santa Librada,Apartamento,3,2.0,1,5.6240175061873385,19.95754796355163
Suba,Casa,4,5.0,1,5.736572297479192,20.905587393740365
San Patricio,Apartamento,3,3.0,1,5.327876168789581,21.02337042939675
Chapinero Central,Oficina,2,1.0,0,3.7612001156935624,19.3761921889798
Barrios Unidos,Apartamento,2,2.0,1,5.6240175061873385,20.009915949068947
Alhambra,Casa,4,5.0,1,5.720311776607412,21.161520767877565
Barrios Unidos,Apartamento,3,3.0,0,4.653960350157523,20.245230036003413
Santa Barbara,Apartamento,2,4.0,1,4.663439094112067,20.5001222856322
Barrios Unidos,Apartaestudio,1,1.0,0,3.2188758248682006,19.481937246076708
El Chicó,Apartamento,2,2.5,1,5.6240175061873385,20.86302777932157
San Patricio,Apartamento,4,5.5,1,5.6240175061873385,21.3755910229861
Cedritos,Apartamento,3,2.0,1,5.6240175061873385,19.519293032620475
Colinas De Suba,Apartaestudio,1,1.5,0,5.6240175061873385,20.159390992090604
La Candelaria,Apartaestudio,1,1.0,0,5.6240175061873385,19.806975105072254
La Candelaria,Apartaestudio,1,1.0,0,5.6240175061873385,19.83166771766263
La Uribe,Apartamento,3,2.5,0,5.6240175061873385,20.11629451776345
Fontibón,Apartamento,3,3.0,1,5.6240175061873385,20.691775169855042
Barrios Unidos,Apartaestudio,1,1.0,0,5.6240175061873385,19.488833825135767
Florida Blanca,Casa,7,4.5,1,5.799092654460526,20.560746907448635
Chapinero,Apartaestudio,1,1.0,0,5.6240175061873385,19.41393251696265
Santa Barbara,Apartamento,3,4.5,1,5.1647859739235145,20.671972542558862
Teusaquillo,Apartaestudio,1,1.0,0,5.6240175061873385,19.525937575339142
Usaquén,Apartaestudio,1,1.0,0,5.6240175061873385,19.942379742078458
Pasadena ,Apartaestudio,1,1.0,0,5.6240175061873385,19.552082855443466
Chapinero,Oficina,4,3.0,1,5.043425116919247,20.772056001115843
Modelia,Casa,5,3.0,1,5.560681631015528,20.905587393740365
Barrios Unidos,Casa,5,3.5,1,5.6240175061873385,20.905587393740365
El Chicó,Oficina,3,2.0,0,4.07753744390572,20.380775527999635
El Retiro,Apartamento,2,2.0,0,4.418840607796598,20.5001222856322
Puente Largo,Oficina,3,2.0,0,5.6240175061873385,18.459901360951797
Marly,Apartamento,1,1.0,1,3.4965075614664802,19.519293032620475
Teusaquillo,Casa,3,3.0,1,5.560681631015528,20.970125914877936
Santa Barbara,Casa,4,5.0,1,5.6240175061873385,21.639556568820566
La Calleja,Apartamento,2,2.0,1,5.6240175061873385,20.62895515747517
Alhambra,Casa,3,2.0,0,5.6240175061873385,21.059738073567623
Cedritos,Casa,5,4.0,1,5.6240175061873385,20.985630101413904
Suba,Apartamento,2,2.0,1,5.6240175061873385,19.568083196789907
La Soledad ,Apartamento,2,2.0,1,5.6240175061873385,20.60673202069046
Barrios Unidos,Casa,3,7.0,1,5.973809611869261,21.193269466192145
Los Rosales,Apartamento,3,2.0,1,5.6240175061873385,20.5001222856322
Santa Barbara,Apartaestudio,1,1.0,1,5.6240175061873385,19.138520537102682
Chapinero Alto,Casa,3,3.0,1,5.6240175061873385,21.519420767580584
Cedritos,Apartamento,4,5.0,1,5.459585514144159,21.161520767877565
Fontibón,Casa,3,2.0,1,4.356708826689592,19.67344371244773
Chapinero,Apartamento,3,5.0,1,5.768320995793772,21.97602880544178
Barrios Unidos,Casa,10,6.0,1,5.6240175061873385,21.205691986190704
Barrios Unidos,Apartaestudio,3,3.0,0,4.442651256490317,19.855765269241687
El Chicó,Apartamento,3,4.0,1,5.6240175061873385,21.282881624881835
Bosque De Pinos,Apartamento,1,2.0,1,5.6240175061873385,20.307750392984744
El Retiro,Apartamento,3,3.0,1,5.6240175061873385,20.818576016750736
Barrios Unidos,Local,3,1.0,0,5.0106352940962555,21.161520767877565
El Chicó,Oficina,3,1.0,1,4.564348191467836,21.31105250184853
Usaquén,Apartamento,1,1.0,1,3.8066624897703196,19.38861470897836
Usaquén,Apartamento,2,3.0,1,5.6240175061873385,20.077002242285317
Suba,Oficina,4,6.0,1,5.739792912179234,21.282881624881835
