price,location,type,bedrooms,bathrooms,area,parking
$ 630.000.000,"Barrios Unidos, Zona Chapinero, Bogotá D.C, Cundinamarca",Apartaestudio en Venta en Barrios Unidos,1 habitación,1 baño,63 m²,Parqueadero
$ 600.000.000,"Santa Barbara, Usaquén, Zona Norte, Bogotá D.C, Cundinamarca",Apartamento en Venta en Santa Barbara,2 habitaciones,2 baños,145 m²,Parqueadero
$ 800.000.000,"San Cristobal, Zona Sur, Bogotá D.C, Cundinamarca",Casa en Venta en San Cristobal,8 habitaciones,5 baños,160 m²,
$ 230.000.000,"Ciudad Bolívar, Zona Sur, Bogotá D.C, Cundinamarca",Apartamento en Venta en Ciudad Bolívar,3 habitaciones,1 baño,41 m²,
$ 280.000.000,"Ciudad Bolívar, Zona Sur, Bogotá D.C, Cundinamarca",Casa en Venta en Ciudad Bolívar,6 habitaciones,3 baños,71 m²,
$ 800.000.000,"Kennedy, Zona Suroccidental, Bogotá D.C, Cundinamarca",Casa en Venta en Kennedy,6 habitaciones,3 baños,150 m²,
$ 330.000.000,"Usme, Zona Sur, Bogotá D.C, Cundinamarca",Casa en Venta en Usme,5 habitaciones,3 baños,58 m²,
$ 2.600.000.000,"Usaquén, Zona Norte, Bogotá D.C, Cundinamarca",Apartamento en Venta en Usaquén,4 habitaciones,"4,5 baños",387 m²,Parqueadero
$ 350.000.000,"Ingles, Rafael Uribe Uribe, Zona Sur, Bogotá D.C, Cundinamarca",Casa en Venta en Ingles,5 habitaciones,2 baños,42 m²,
$ 3.000.000.000,"El Retiro, Chapinero, Zona Chapinero, Bogotá D.C, Cundinamarca",Apartamento en Venta en El Retiro,3 habitaciones,"3,5 baños",227 m²,Parqueadero
$ 2.060.000.000,"Los Rosales, Chapinero, Zona Chapinero, Bogotá D.C, Cundinamarca",Apartamento en Venta en Los Rosales,4 habitaciones,"3,5 baños",363 m²,Parqueadero
$ 960.000.000,"Chico Reservado, Chapinero, Zona Chapinero, Bogotá D.C, Cundinamarca",Apartamento en Venta en Chico Reservado,3 habitaciones,"2,5 baños",130 m²,Parqueadero
$ 2.100.000.000,"Chapinero, Zona Chapinero, Bogotá D.C, Cundinamarca",Apartamento en Venta en Chapinero,4 habitaciones,"3,5 baños",348 m²,
$ 650.000.000,"Chapinero, Zona Chapinero, Bogotá D.C, Cundinamarca",Apartamento en Venta en Chapinero,1 habitación,1 baño,65 m²,Parqueadero
$ 1.200.000.000,"El Chicó, Chapinero, Zona Chapinero, Bogotá D.C, Cundinamarca",Apartamento en Venta en El Chicó,2 habitaciones,"2,5 baños",113 m²,Parqueadero
$ 700.000.000,"Bella Suiza, Usaquén, Zona Norte, Bogotá D.C, Cundinamarca",Apartamento en Venta en Bella Suiza,2 habitaciones,"2,5 baños",115 m²,Parqueadero
$ 260.000.000,"Usme, Zona Sur, Bogotá D.C, Cundinamarca",Casa en Venta en Usme,3 habitaciones,,72 m²,
$ 320.000.000,"Las Aguas, La Candelaria, Zona Centro, Bogotá D.C, Cundinamarca",Oficina en Venta en Las Aguas,,2 baños,85 m²,
$ 1.185.000.000,"El Chicó, Chapinero, Zona Chapinero, Bogotá D.C, Cundinamarca",Apartamento en Venta en El Chicó,4 habitaciones,"3,5 baños",170 m²,Parqueadero
$ 750.000.000,"Usaquén, Zona Norte, Bogotá D.C, Cundinamarca",Casa en Venta en Usaquén,3 habitaciones,"2,5 baños",157 m²,Parqueadero
$ 1.650.000.000,"Las Villas, Suba, Zona Noroccidental, Bogotá D.C, Cundinamarca",Casa en Venta en Las Villas,4 habitaciones,"2,5 baños",257 m²,Parqueadero
$ 435.000.000,"Usaquén, Zona Norte, Bogotá D.C, Cundinamarca",Apartamento en Venta en Usaquén,1 habitación,1 baño,44 m²,Parqueadero
$ 1.900.000.000,"Chapinero, Zona Chapinero, Bogotá D.C, Cundinamarca",Casa en Venta en Chapinero,6 habitaciones,6 baños,293 m²,Parqueadero
$ 5.000.000.000,"Usaquén, Zona Norte, Bogotá D.C, Cundinamarca",Casa en Venta en Usaquén,3 habitaciones,"2,5 baños",600 m²,Parqueadero
$ 640.000.000,"Niza, Suba, Zona Noroccidental, Bogotá D.C, Cundinamarca",Apartamento en Venta en Niza,3 habitaciones,3 baños,103 m²,Parqueadero
$ 480.000.000,"Suba, Zona Noroccidental, Bogotá D.C, Cundinamarca",Casa en Venta en Suba,3 habitaciones,"2,5 baños",84 m²,Parqueadero
$ 950.000.000,"Las Villas, Suba, Zona Noroccidental, Bogotá D.C, Cundinamarca",Casa en Venta en Las Villas,4 habitaciones,4 baños,190 m²,Parqueadero
$ 2.000.000.000,"Marly, Chapinero, Zona Chapinero, Bogotá D.C, Cundinamarca",Casa en Venta en Marly,8 habitaciones,6 baños,538 m²,
$ 7.100.000.000,"Chico Norte, Chapinero, Zona Chapinero, Bogotá D.C, Cundinamarca",Oficina en Venta en Chico Norte,,4 baños,837 m²,
$ 7.100.000.000,"Chico Norte, Chapinero, Zona Chapinero, Bogotá D.C, Cundinamarca",Oficina en Venta en Chico Norte,,4 baños,837 m²,
$ 12.625.800.000,"Teusaquillo, Zona Chapinero, Bogotá D.C, Cundinamarca",Oficina en Venta en Teusaquillo,,6 baños,1.131 m²,
$ 2.992.410.000,"El Chicó, Chapinero, Zona Chapinero, Bogotá D.C, Cundinamarca",Oficina en Venta en El Chicó,,1 baño,332 m²,
$ 1.315.000.000,"Bosque De Pinos, Usaquén, Zona Norte, Bogotá D.C, Cundinamarca",Apartamento en Venta en Bosque De Pinos,4 habitaciones,"4,5 baños",240 m²,Parqueadero
$ 1.050.000.000,"Niza, Suba, Zona Noroccidental, Bogotá D.C, Cundinamarca",Casa en Venta en Niza,5 habitaciones,4 baños,162 m²,Parqueadero
$ 900.000.000,"Niza, Suba, Zona Noroccidental, Bogotá D.C, Cundinamarca",Casa en Venta en Niza,4 habitaciones,"3,5 baños",150 m²,Parqueadero
$ 225.000.000,"Galerias, Teusaquillo, Zona Chapinero, Bogotá D.C, Cundinamarca",Apartaestudio en Venta en Galerias,1 habitación,1 baño,31 m²,Parqueadero
$ 8.500.000.000,"Usaquén, Zona Norte, Bogotá D.C, Cundinamarca",Casa en Venta en Usaquén,4 habitaciones,5 baños,,Parqueadero
$ 320.000.000,"La Macarena, Santa Fe, Zona Centro, Bogotá D.C, Cundinamarca",Apartaestudio en Venta en La Macarena,1 habitación,1 baño,37 m²,
$ 300.000.000,"Santa Maria Del Lago, Engativa, Zona Occidental, Bogotá D.C, Cundinamarca",Apartamento en Venta en Santa Maria Del Lago,3 habitaciones,2 baños,51 m²,
$ 3.432.724,"Chico Norte, Chapinero, Zona Chapinero, Bogotá D.C, Cundinamarca",Local comercial en Venta en Chico Norte,,1 baño,242 m²,
$ 900.000.000,"Pasadena , Suba, Zona Noroccidental, Bogotá D.C, Cundinamarca",Oficina en Venta en Pasadena,,,72 m²,Parqueadero
$ 880.000.000,"Pasadena , Suba, Zona Noroccidental, Bogotá D.C, Cundinamarca",Oficina en Venta en Pasadena,,,64 m²,Parqueadero
$ 1.550.000.000,"Pasadena , Suba, Zona Noroccidental, Bogotá D.C, Cundinamarca",Oficina en Venta en Pasadena,,,118 m²,Parqueadero
$ 990.000.000,"Usaquén, Zona Norte, Bogotá D.C, Cundinamarca",Apartamento en Venta en Usaquén,4 habitaciones,4 baños,261 m²,Parqueadero
$ 1.759.500.000,"Fontibón, Zona Occidental, Bogotá D.C, Cundinamarca",Local comercial en Venta en Fontibón,,,,
$ 1.100.000.000,"Bellavista Occidental, Engativa, Zona Occidental, Bogotá D.C, Cundinamarca",Apartamento en Venta en Bellavista Occidental,3 habitaciones,3 baños,147 m²,Parqueadero
$ 950.000.000,"Barrios Unidos, Zona Chapinero, Bogotá D.C, Cundinamarca",Casa en Venta en Barrios Unidos,8 habitaciones,4 baños,209 m²,Parqueadero
$ 840.000,"Engativa, Zona Occidental, Bogotá D.C, Cundinamarca",Casa en Venta en Engativa,4 habitaciones,3 baños,218 m²,Parqueadero
$ 665.000.000,"Cedritos, Usaquén, Zona Norte, Bogotá D.C, Cundinamarca",Apartamento en Venta en Cedritos,4 habitaciones,4 baños,140 m²,Parqueadero
$ 1.500.000.000,"Las Villas, Suba, Zona Noroccidental, Bogotá D.C, Cundinamarca",Casa en Venta en Las Villas,7 habitaciones,6 baños,338 m²,Parqueadero
$ 800.000.000,"Puente Aranda, Zona Centro, Bogotá D.C, Cundinamarca",Casa en Venta en Puente Aranda,4 habitaciones,3 baños,185 m²,Parqueadero
$ 890.000.000,"Kennedy, Zona Suroccidental, Bogotá D.C, Cundinamarca",Local comercial en Venta en Kennedy,,4 baños,120 m²,
